my_name,loss_count,is_eliminated,first_losses,last_losses,next_match,last_standing
khan,1,False,"{'phase': 'Round 3', 'fullRoundText': 'Winners Quarter-Final', 'opponent': 'DNF | Meo-IL'}",[],"{'phase': 'Top 24', 'fullRoundText': 'Losers Round 1', 'opponent': 'DRX | CHANEL'}",
jodd,1,False,"{'phase': 'Round 2', 'fullRoundText': 'Winners Semi-Final', 'opponent': 'Virtus.pro | Mangja'}",[],"{'phase': 'Round 3', 'fullRoundText': 'Losers Round 3', 'opponent': 'Mirage | Fergus'}",
bilal,1,False,"{'phase': 'Round 3', 'fullRoundText': 'Winners Quarter-Final', 'opponent': 'BDS | Kirakira'}",[],"{'phase': 'Top 24', 'fullRoundText': 'Losers Round 1', 'opponent': 'VARREL | Rangchu'}",
tibetano,1,False,"{'phase': 'Round 3', 'fullRoundText': 'Winners Semi-Final', 'opponent': 'TeamYAMASA | NOBI'}",[],"{'phase': 'Top 24', 'fullRoundText': 'Losers Round 1', 'opponent': ''}",
yagami,1,False,"{'phase': 'Bracket', 'fullRoundText': 'Round 3', 'opponent': 'Grumble'}",[],,
tetsu,2,True,"{'phase': 'Round 3', 'fullRoundText': 'Losers Round 1', 'opponent': 'ONIC | Strog'}","{'phase': 'Round 2', 'fullRoundText': 'Winners Quarter-Final', 'opponent': 'Dapper'}",,65.0
eyemusician,1,False,"{'phase': 'Round 2', 'fullRoundText': 'Winners Semi-Final', 'opponent': 'Mirage | Fergus'}",[],"{'phase': 'Round 3', 'fullRoundText': 'Losers Round 4', 'opponent': 'Pulse | Tomoriru'}",
kkokkoma,2,True,"{'phase': 'Round 3', 'fullRoundText': 'Losers Round 3', 'opponent': 'VARREL | PINYA'}","{'phase': 'Round 2', 'fullRoundText': 'Winners Semi-Final', 'opponent': 'TALON | Book'}",,33.0
chikurin,0,False,[],[],"{'phase': 'Top 24', 'fullRoundText': 'Winners Quarter-Final', 'opponent': 'Falcons | ATIF'}",
arslan ash,0,False,[],[],"{'phase': 'Top 24', 'fullRoundText': 'Winners Quarter-Final', 'opponent': 'DNF | Mulgold'}",
nobi,0,False,[],[],"{'phase': 'Top 24', 'fullRoundText': 'Winners Quarter-Final', 'opponent': 'T1 | EDGE'}",
edge,0,False,[],[],"{'phase': 'Top 24', 'fullRoundText': 'Winners Quarter-Final', 'opponent': 'TeamYAMASA | NOBI'}",
shonen,2,True,"{'phase': 'Round 3', 'fullRoundText': 'Losers Round 1', 'opponent': 'NYC TKN|L&C | Fear Of Silence'}","{'phase': 'Round 2', 'fullRoundText': 'Winners Semi-Final', 'opponent': 'Falcons | Farzeen'}",,65.0
ak,1,False,"{'phase': 'Round 2', 'fullRoundText': 'Winners Quarter-Final', 'opponent': 'STG | Fradin'}",[],"{'phase': 'Round 3', 'fullRoundText': 'Losers Round 4', 'opponent': 'TALON | Book'}",
mangja,1,False,"{'phase': 'Round 3', 'fullRoundText': 'Winners Semi-Final', 'opponent': 'DNF | Mulgold'}",[],"{'phase': 'Top 24', 'fullRoundText': 'Losers Round 1', 'opponent': 'TM | Hafiz Tanveer'}",
