team,player,entrant_id
ZETA,WATANABE,20817565
ZETA,double,20717045
FATE,KHAN,20701285
FATE,Jodd,20701059
Liquid,Shadow 20z,20651597
Wolves,Bilal,20566709
,Dawood Sikandar,20556267
KINOTROPE,iKARi,20538816
ZETA,KEISUKE,20499848
GG,Tibetano,20475555
QAD,Yagami,20473011
G8S,MATSUBA,20444676
Falcon,Tetsu,20435561
T1,eyemusician,20407169
ONIC,REST,20400668
Navi,kkokkoma,20397163
THY,chikurin,20380136
TM RB,Arslan Ash,20367697
VARREL,AO,20361324
TeamYAMASA,Ryuichi.,20360785
TeamYAMASA,TAKE,20360455
TeamYAMASA,NOBI,20360365
T1,EDGE,20339066
KINOTROPE,shonen,20338170
Falcons,JoKa,20326574
NAVI,AK,20316361
Virtus.pro,Mangja,20232693
BDS,Kirakira,20184276
BDS,ILIAS,20184229
DNF,Meo-IL,20174220
Z10,qudans,20076056
FALCON,Numan Ch,20014078
VARREL,PINYA,19986639
VARREL,Rangchu,19803901
VIT,KingReyJr,19739807
VIT,JeonDDing,19651196
Falcons,ATIF,19502162
FALCONS,Danielmado,19501268
Falcons,Farzeen,19498923
Falcon,Ghirlanda,19498910
DRX,Knee,19498207
DRX,LowHigh,19497479
DNF,ULSAN,19497415
DRX,CHANEL,19497205
TALON,Book,19497177
DNF,CBM,19497162
DNF,Mulgold,19496092
FCM,Wecka,20320644
