team,player,entrant_id
FATE,KHAN,20701285
FATE,Jodd,20701059
Wolves,Bilal,20566709
GG,Tibetano,20475555
QAD,Yagami,2047301
Falcon,Tetsu,20435561
T1,eyemusician,20407169
Navi,kkokkoma,20397163
THY,chikurin,20380136
TM RB,Arslan Ash,20367697
TeamYAMASA,NOBI,20360365
T1,EDGE,20339066
KINOTROPE,shonen,20338170
NAVI,AK,20316361
Virtus.pro,Mangja,20232693
BDS,Kirakira,20184276
BDS,ILIAS,20184229
DNF,Meo-IL,20174220
VARREL,PINYA,19986639
VARREL,Rangchu,19803901
Falcons,ATIF,19502162
FALCONS,Danielmado,19501268
Falcons,Farzeen,19498923
DRX,LowHigh,19497479
DRX,CHANEL,19497205
TALON,Book,19497177
DNF,CBM,19497162
DNF,Mulgold,19496092
FCM,Wecka,20320644
