team,player
ZETA,WATANABE
ZETA,double
FATE,KHAN
FATE,Jodd
Liquid,Shadow 20z
Wolves,Bilal
,Dawood Sikandar
KINOTROPE,iKARi
ZETA,KEISUKE
GG,Tibetano
QAD,Yagami
G8S,MATSUBA
Falcon,Tetsu
Falcons,Exodia
T1,eyemusician
ONIC,REST
Navi,kkokkoma
THY,chikurin
TM RB,Arslan Ash
VARREL,AO
TeamYAMASA,Ryuichi.
TeamYAMASA,TAKE
TeamYAMASA,NOBI
T1,EDGE
KINOTROPE,shonen
Falcons,JoKa
NAVI,AK
Virtus.pro,Mangja
BDS,Kirakira
BDS,ILIAS
DNF,Meo-IL
Z10,qudans
FALCON,Numan Ch
VARREL,PINYA
VARREL,Rangchu
VIT,KingReyJr
VIT,JeonDDing
Falcons,ATIF
FALCONS,Danielmado
Falcons,Farzeen
Falcon,Ghirlanda
DRX,Knee
DRX,LowHigh
DNF,ULSAN
DRX,CHANEL
TALON,Book
DNF,CBM
DNF,Mulgold
